Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Ceramic tradition,"Ceramic tradition characterised by impressed rim bands, decorative finger-nail impression patterns, and vessels with decorations similar to Gash Group pottery. Seemingly correlated with a more nomadic form of life than the immediately preceding inhabitants of the same area. (Fattovich 2010)",Hagiz group,,800,has broader term (has narrower term),CE,,Primary name,,400,'-800,CHRN-00000489,"Sudan, Primary name",Taka phase,, Archaeological Investigations of Settlement and Emerging Complexity in the Middle Senegal Valley,BCE,,400,8ff35500-ea95-4323-b811-1cd9bdd663eb
Ceramic tradition,"Ceramic tradition mainly characterised by a sand-tempered, unburnished buff-colored ware with impressed decorations, within the Saroba Phase. (Fattovich 2010)",Malawiya group,,5000,has broader term (has narrower term),BCE,,Primary name,,3800,'-5000,CHRN-00000491,"Sudan, Primary name",Saroba phase,, Archaeological Investigations of Settlement and Emerging Complexity in the Middle Senegal Valley,BCE,,'-3800,2f91462c-20bf-484e-bcc8-b37eab762c77
Ceramic,,Early Faïta facies (ceramic),,1300~,has broader term (has narrower term),BCE,,Primary name,,800,'-1300~,CHRN-00000513,"Mali, Primary name",Faïta facies (ceramic),, The Medieval Kingdoms of Nubia: Pagans Christians and Muslims Along the Middle Nile,BCE,,'-800,43f92698-ae81-4aa2-88e4-f8a47eda0b6b
Ceramic,,Late Faïta facies (ceramic),,800,has broader term (has narrower term),BCE,,Primary name,,400,'-800,CHRN-00000514,"Mali, Primary name",Faïta facies (ceramic),, The Medieval Kingdoms of Nubia: Pagans Christians and Muslims Along the Middle Nile,BCE,,'-400,f5865b5f-7583-4dae-9a00-7a52df4361db
Material culture,"Jenné-jeno's initial settlement was a 7 ha village within a cluster of other settlements where the subsistence economy combined elements of pastoralism, fishing, and cereal agriculture (especially rice, but also sorghum). Ceramics are highly burnished and with very fine paste (termed ‘fineware’ or ‘deltaware’). (McIntosh 1995)",Inland Niger Delta phase I - II,,200,has broader term (has narrower term),CE,,Primary name,,400,'-200,CHRN-00000524,"Mali, Primary name",Inland Niger Delta (urbanism),, First Footsteps in the Archaeology of Harar Ethiopia. | Ebsc Ohost,BCE,,400,ea171f27-af1e-4a39-80be-b182ba122144
Material culture,"Phase III it covered 33 ha, with up to 26,000 people estimated to have lived within 1 km of it. In the latter portion of this period curvilinear earthen architecture became prevalent, employing distinctive cylindrical bricks, and a city wall was built, perhaps as a communally built bastion against flooding rather than a defensive citadel (McIntosh and McIntosh 1993). In addition to increasing specialization in ironworking activities, with specific smithing settlements, long-distance trade for copper is documented by AD 500, as is trade in gold by 850–950. Ceramics shift to coarser but carefully decorated painted wares, a trend documented elsewhere in the Middle Niger at this time.' (McIntosh 1995)",Inland Niger Delta phase III,,400,has broader term (has narrower term),CE,,Primary name,,900,400,CHRN-00000525,"Mali, Primary name",Inland Niger Delta (urbanism),, First Footsteps in the Archaeology of Harar Ethiopia. | Ebsc Ohost,CE,,900,cdad1a80-1787-43fa-b219-191ce91fb113
Material culture,"During this period Jenné-jeno's material culture diverges significantly from that seen at Dia, perhaps indicating greater cultural autonomy for the Jenné region. The Jenné terracotta tradition, which emerges during this phase .Phase IV also witnesses increasing influence from the Islamic world, with the advent of rectilinear structures and a wave of iconoclasm late in this period.' (McIntosh 1995)",Inland Niger Delta phase IV,,900,has broader term (has narrower term),CE,,Primary name,,1400,900,CHRN-00000526,"Mali, Primary name",Inland Niger Delta (urbanism),, First Footsteps in the Archaeology of Harar Ethiopia. | Ebsc Ohost,CE,,1400,b021016b-e522-45cc-8344-ade96e4c121c
Material culture,The principal mound at Jenné-jeno appears to have been abandoned in favour of a new Muslim city—modern Jenné—around 1400.' (McIntosh 1995),Inland Niger Delta phase V,,1400,has broader term (has narrower term),CE,,Primary name,,1700,1400,CHRN-00000527,"Mali, Primary name",Inland Niger Delta (urbanism),, First Footsteps in the Archaeology of Harar Ethiopia. | Ebsc Ohost,CE,,1700,933e5a22-bf12-4227-bc8c-64eb4a538a06
Local sequence,Early occupation layers at Gao Ancien date to the middle centuries of the first millennium AD (Insoll 1998 2000) allowing ample time for the development of the substantial polity.' (Cissé et al 2013),Early Gao phase,,700,has broader term (has narrower term),CE,,Primary name,,900,700,CHRN-00000530,"Mali, Primary name",Goa,, Archaeology of the Jesuit Missions of Ethiopia | Springer Link,CE,,900,afcba7b9-2357-4233-b501-fb2ba6992946
Local sequence,,Later Gao phase,,900,has broader term (has narrower term),CE,,Primary name,,1200,900,CHRN-00000531,"Mali, Primary name",Goa,, Archaeology of the Jesuit Missions of Ethiopia | Springer Link,CE,,1200,381e1f1c-6ffa-4e54-a05f-0a222809ed44
Ceramic,,Toloy phase 1,,'-800~,has broader term (has narrower term),CE,,Primary name,,100~,'-800,CHRN-00000548,"Mali, Primary name",Bandiagara Cliff tradition,, Betwixt Tichitt and the Ind: the Pottery of the Faïta Facies Tichitt Tradition,BCE,,100,e1d77fb4-b5c8-4b9f-b652-dc293177925d
Ceramic,,Early Tellem phase,,1000~,has broader term (has narrower term),CE,,Primary name,,1400~,1000,CHRN-00000549,"Mali, Primary name",Bandiagara Cliff tradition,, Betwixt Tichitt and the Ind: the Pottery of the Faïta Facies Tichitt Tradition,CE,,1400,7301edc6-731c-446f-a4fc-7ed7190ae3ba
Ceramic,,Tellem phase 4,,1400~,has broader term (has narrower term),CE,,Primary name,,1600~,1400,CHRN-00000550,"Mali, Primary name",Bandiagara Cliff tradition,, Betwixt Tichitt and the Ind: the Pottery of the Faïta Facies Tichitt Tradition,CE,,1600,c61f8109-b048-427e-a796-2f3c02028d5e
Geological event,"A stadial of the Weichselian cold stage, dated to between 11,000 and 10,000BP. The last glacial recession (13,000–6000 years ago) was interrupted by this sharp advance. It takes its name from a tundra plant called Dryas octopetala.",End of the Younger Dryas,,"11,000",has broader term (has narrower term),BCE,,Primary name,,"10,000",y-11000,CHRN-00000093,"Africa, Primary name",Early Holocene,, Encyclopedic Dictionary of Archaeology,BCE,,y-10000,ead1380c-a601-4f72-83c7-3ae6c56cd361
Geological event,"Around the transition between the first and second millennium CE is a period widely referred to as the Medieval Climate Anomaly. Hemisphere-wide and global syntheses suggest that this period was generally warmer than the subsequent Little Ice Age. Tyson et al. (2000) suggest that warming may have increased by as much as ~+3°C, south of Lake Malawi. The timing and spatial variability of the MCA is considered to be highly complex with high resolution records being comparatively patchy in terms of geographical coverage across Africa. General synthesis indicates that the MCA was wetter than today across the Sahel. In the more humid regions south of the Sahel, the MCA has been suggested to be relatively arid with sites across East Africa from Ethopia to northern Malawi being drier than average. In Southern African records indicate that the period is characterised generally by increased humidity and warm conditions between 900 CE and 1250 and were interrupted by significantly drier conditions at around c. 1200 CE, although on the southeastern side of southern Africa, records seem to show greater variability (see also Nash 2016 for an overview)",Medieval Climate Epoch,,900,has broader term (has narrower term),CE,,Primary name,,1250,900,CHRN-00000096,"Africa, Primary name",Late Holocene,,,CE,,1250,63f538a3-2b5b-4176-aa29-3cf506496472
Geological event,"A recent glacial stage called the Little Ice Age began in the sixteenth century and advanced and receded intermittently over three centuries. Its maximum development was reached about 1750, at which time glaciers were more widespread on Earth than at any time since the principal Quaternary Ice Ages.",Little Ice Age,,1500,has broader term (has narrower term),CE,,Primary name,,1800,1500,CHRN-00000097,"Africa, Primary name",Late Holocene,, Encyclopedic Dictionary of Archaeology,CE,,1800,4244044a-591d-462c-95bb-0f4264531c3d
Palaeoclimatic or palaeoenvironmental reconstruction,Marine Isotope Stage 6 with cool and warm oscillations around 191 - 130 kya of the Middle Pleistocene. Homo sapiens established in Africa; innovation: heat treatment of rocks.,MIS 6,,191,has broader term (has narrower term),ka BP,,Primary name,,131,y-191000,CHRN-00000101,"Africa, Primary name",Middle Pleistocene,, Stone Circles of Senegambia,ka BP,,y-130000,dfef34cc-d371-4e3d-91a6-4fca05a27610
Palaeoclimatic or palaeoenvironmental reconstruction,Marine Isotope Stage 7 with warm and cool oscillations in the Middle Pleistocene around 241 - 191 kya.,MIS 7,,241,has broader term (has narrower term),ka BP,,Primary name,,191,y-241000,CHRN-00000102,"Africa, Primary name",Middle Pleistocene,, Maea Sa m - Resource Manager,ka BP,,y-191000,612a526a-e0ad-477e-bd28-74b4750366b3
Palaeoclimatic or palaeoenvironmental reconstruction,Marine Isotope Stage 8 with a cool temperature regine during the Middle Pleistocene around 291 - 241 kya. MSA technology established; hafted points used as weapons.,MIS 8,,291,has broader term (has narrower term),ka BP,,Primary name,,241,y-291000,CHRN-00000103,"Africa, Primary name",Middle Pleistocene,, Maea Sa m - Resource Manager,ka BP,,y-241000,b8126c3d-f828-46ce-abf2-65e27e2f1ae4
Palaeoclimatic or palaeoenvironmental reconstruction,Marine Isotope Stage 5 of the Last Interglacial: A gradually dertiorating climate with two cooler and two warmer intervals during the Late (Upper) Pleistocene around 130 - 71 kya.,MIS 5,,130,has broader term (has narrower term),ka BP,,Primary name,,71,y-130000,CHRN-00000105,"Africa, Primary name",Late Pleistocene,, Stone Circles of Senegambia,ka BP,,y-71000,ad7a7c75-48a2-4200-a680-f71167678112
Palaeoclimatic or palaeoenvironmental reconstruction,Warm interval of the Last Interglacial around 85 - 71 kya. Possible trend in assemblages of the MSA: ground bone tools.,MIS 5a,,85,has broader term (has narrower term),ka BP,,Primary name,,71,y-85000,CHRN-00000106,"Africa, Primary name",Late Pleistocene,, Stone Circles of Senegambia,ka BP,,y-71000,724bc31c-0383-4337-8976-73ece40a9bcd
Palaeoclimatic or palaeoenvironmental reconstruction,Cool interval around ~92- 85 kya.,MIS 5b,,92,has broader term (has narrower term),ka BP,,Primary name,,85,y-92000,CHRN-00000107,"Africa, Primary name",Late Pleistocene,, Stone Circles of Senegambia,ka BP,,y-85000,874d29b8-41ca-471f-8b4d-5dbe46aa08b6
Palaeoclimatic or palaeoenvironmental reconstruction,Warm interval around ~ 105 - 92 kya.Innovations: possible ochre engraving and compound paint.,MIS 5c,,105,has broader term (has narrower term),ka BP,,Primary name,,92,y-105000,CHRN-00000108,"Africa, Primary name",Late Pleistocene,, Stone Circles of Senegambia,ka BP,,y-92000,767ee6d4-1bfd-4030-83af-7f5b9d092ffb
Palaeoclimatic or palaeoenvironmental reconstruction,Cool interval around ~117 - 105 kya.,MIS 5d,,117,has broader term (has narrower term),ka BP,,Primary name,,105,y-117000,CHRN-00000109,"Africa, Primary name",Late Pleistocene,, Stone Circles of Senegambia,ka BP,,y-105000,500dfa67-4f91-4d21-8800-baa5d8f46be2
Palaeoclimatic or palaeoenvironmental reconstruction,Last Interglacial with temperatures slightly warmer and slightly higher sea levels. 130 - 117 kya. Possible Homo sapiens migration out-of-Africa.,MIS 5e,,130,has broader term (has narrower term),ka BP,,Primary name,,117,y-130000,CHRN-00000110,"Africa, Primary name",Late Pleistocene,, Maea Sa m - Resource Manager,ka BP,,y-117000,26271806-173c-4f3a-989a-95160ac0f2cc
Palaeoclimatic or palaeoenvironmental reconstruction,"Marine Isotope Stage 4 of the Lower Pleniglacial. A period of severely cold and dry conditions around 71 - 51 kya during the Late Pleistocene. Coincides with Mount Toba super-eruption, north-west of Sumatra in the Andaman Sea. Possible trends in assemblages: marine shell beads; diverse bone tools; compound adhesives; engraved eggshell.",MIS 4,,71,has broader term (has narrower term),ka BP,,Primary name,,51,y-71000,CHRN-00000111,"Africa, Primary name",Late Pleistocene,, Saloum Delta,ka BP,,y-51000,307c106a-fed0-4d97-bed6-043d91389d41
Palaeoclimatic or palaeoenvironmental reconstruction,Marine Isotope Stage 3 of the Inter-Pleniglacial. Characterised by a period of sharply warm oscillating conditions but much cooler than present. Occurs around 57 - 29 kya during the Late Pleistocene. Possible Homo sapiens migration out-of-Africa.,MIS 3,,57,has broader term (has narrower term),ka BP,,Primary name,,29,y-57000,CHRN-00000112,"Africa, Primary name",Late Pleistocene,, Saloum Delta,ka BP,,y-29000,3f3a0d11-385a-41d4-be01-8d1d08d5eb33
